Temps simulation; 40h;;;;;; 80h;;;;;; 160h;;;;;; 240h;;;;;;
Variable; TmpMoyenAvContr; TailleMoyFileC; TmpMoyenAvRep; TailleMoyFileR; TauxUtilCentreRep; NbBus;TmpMoyenAvContr; TailleMoyFileC; TmpMoyenAvRep; TailleMoyFileR; TauxUtilCentreRep; NbBus; TmpMoyenAvContr; TailleMoyFileC; TmpMoyenAvRep; TailleMoyFileR; TauxUtilCentreRep; NbBus; TmpMoyenAvContr; TailleMoyFileC; TmpMoyenAvRep; TailleMoyFileR; TauxUtilCentreRep; NbBus;
Simulation n°1;2.81; 3.513; 0.981; 0.343; 0.678;50; 2.451; 3.278; 1.293; 0.453; 0.704;107; 1.775; 2.508; 3.45; 1.445; 0.862;226; 1.388; 1.688; 1.36; 0.453; 0.685;292; 
Simulation n°2;3.559; 5.605; 2.143; 0.857; 0.618;63; 5.569; 8.701; 1.368; 0.65; 0.892;125; 1.42; 1.81; 2.61; 1.028; 0.794;204; 2.598; 3.28; 2.92; 1.107; 0.752;303; 
Simulation n°3;0.287; 0.273; 0.0; 0.0; 0.333;38; 1.623; 2.15; 0.836; 0.303; 0.751;106; 1.825; 2.453; 2.383; 1.013; 0.848;215; 1.563; 1.973; 2.511; 0.973; 0.78;303; 
Simulation n°4;0.908; 1.271; 0.0; 0.0; 0.54;56; 3.598; 5.712; 8.096; 4.25; 0.915;127; 2.594; 3.355; 4.26; 1.704; 0.837;207; 3.345; 4.656; 2.806; 1.227; 0.886;334; 
Simulation n°5;4.395; 6.592; 0.238; 0.054; 0.441;60; 4.406; 6.665; 1.219; 0.472; 0.696;121; 4.937; 7.251; 2.589; 0.987; 0.789;235; 1.839; 2.506; 2.069; 0.836; 0.825;327; 
Simulation n°6;0.482; 0.53; 0.733; 0.147; 0.349;44; 4.507; 6.366; 3.82; 1.528; 0.838;113; 1.695; 2.341; 4.302; 1.802; 0.827;221; 2.79; 4.046; 3.857; 1.639; 0.886;348; 
Simulation n°7;2.635; 3.821; 1.474; 0.553; 0.67;58; 2.13; 2.928; 1.185; 0.459; 0.654;110; 3.818; 4.868; 1.823; 0.638; 0.676;204; 2.767; 3.897; 3.946; 1.792; 0.853;338; 
Simulation n°8;1.121; 1.485; 1.002; 0.376; 0.657;53; 2.002; 2.427; 2.883; 0.901; 0.669;97; 1.36; 1.572; 1.258; 0.409; 0.656;185; 3.556; 4.698; 5.068; 1.816; 0.74;317; 
Simulation n°9;1.058; 1.482; 0.699; 0.297; 0.81;56; 1.286; 1.672; 1.977; 0.865; 0.812;104; 1.283; 1.564; 2.311; 0.881; 0.768;195; 1.429; 1.918; 2.752; 1.227; 0.875;322; 
Simulation n°10;1.403; 1.858; 0.935; 0.304; 0.671;53; 4.086; 5.669; 2.41; 1.024; 0.88;111; 4.633; 6.775; 2.724; 1.192; 0.846;234; 1.54; 1.976; 1.176; 0.441; 0.74;308; 
Simulation n°11;2.295; 3.214; 0.5; 0.175; 0.751;56; 1.456; 2.057; 1.003; 0.376; 0.668;113; 4.71; 7.065; 1.454; 0.573; 0.804;240; 1.669; 2.246; 2.479; 0.981; 0.813;323; 
Simulation n°12;0.752; 0.921; 0.137; 0.034; 0.523;49; 0.754; 0.98; 0.337; 0.118; 0.691;104; 1.856; 2.714; 1.742; 0.751; 0.808;234; 1.978; 2.654; 1.541; 0.533; 0.699;322; 
Simulation n°13;0.748; 0.973; 0.373; 0.131; 0.66;52; 2.522; 3.531; 0.186; 0.044; 0.471;112; 1.306; 1.706; 1.935; 0.762; 0.824;209; 1.871; 2.338; 1.08; 0.342; 0.664;300; 
Simulation n°14;1.168; 1.547; 0.144; 0.047; 0.584;53; 0.74; 0.823; 1.974; 0.691; 0.65;89; 1.792; 2.116; 0.976; 0.299; 0.656;189; 1.693; 2.285; 5.73; 2.722; 0.959;324; 
Simulation n°15;0.483; 0.616; 1.513; 0.529; 0.637;51; 0.958; 1.222; 1.526; 0.706; 0.907;102; 1.385; 1.68; 3.199; 1.14; 0.688;194; 3.08; 4.184; 2.247; 0.899; 0.806;326; 
Simulation n°16;2.413; 3.619; 3.544; 1.772; 0.776;60; 1.99; 2.861; 1.625; 0.609; 0.753;115; 3.152; 4.197; 1.784; 0.725; 0.775;213; 1.972; 2.564; 2.065; 0.826; 0.811;312; 
Simulation n°17;1.328; 1.694; 0.599; 0.105; 0.32;51; 1.577; 1.893; 0.153; 0.044; 0.528;96; 1.281; 1.506; 2.348; 0.866; 0.779;188; 2.157; 2.732; 7.512; 3.568; 0.92;304; 
Simulation n°18;0.625; 0.671; 0.175; 0.039; 0.458;43; 1.222; 1.574; 1.189; 0.431; 0.736;103; 3.751; 5.134; 1.238; 0.449; 0.76;219; 2.723; 3.665; 4.119; 1.888; 0.901;323; 
Simulation n°19;2.252; 3.378; 1.24; 0.372; 0.595;60; 1.123; 1.291; 1.362; 0.562; 0.832;92; 6.6; 9.611; 1.72; 0.613; 0.708;233; 2.239; 2.958; 1.311; 0.464; 0.723;317; 
Simulation n°20;0.526; 0.71; 3.847; 1.923; 0.962;54; 0.85; 1.031; 1.314; 0.394; 0.631;97; 1.301; 1.781; 4.072; 1.68; 0.836;219; 0.954; 1.18; 2.39; 0.817; 0.717;297; 
Simulation n°21;1.941; 2.96; 1.291; 0.549; 0.683;61; 2.106; 3.37; 3.36; 1.596; 0.862;128; 2.168; 2.927; 0.851; 0.308; 0.727;216; 2.2; 2.915; 3.116; 1.259; 0.786;318; 
Simulation n°22;1.437; 2.048; 5.835; 2.917; 0.894;57; 1.535; 2.053; 3.602; 1.756; 0.865;107; 4.514; 6.376; 2.468; 1.034; 0.837;226; 2.266; 3.031; 1.728; 0.677; 0.791;321; 
Simulation n°23;0.298; 0.327; 1.376; 0.516; 0.793;44; 1.584; 1.98; 0.802; 0.251; 0.634;100; 4.974; 6.653; 1.589; 0.586; 0.724;214; 3.409; 4.532; 1.335; 0.484; 0.716;319; 
Simulation n°24;1.493; 1.867; 0.05; 0.012; 0.504;50; 1.165; 1.5; 1.847; 0.808; 0.832;103; 1.983; 2.863; 2.436; 1.127; 0.909;231; 2.08; 2.583; 1.771; 0.723; 0.795;298; 
Simulation n°25;0.846; 1.164; 1.546; 0.58; 0.745;55; 1.779; 2.535; 0.855; 0.342; 0.736;114; 1.266; 1.598; 1.204; 0.361; 0.61;202; 1.549; 2.129; 1.293; 0.485; 0.716;330; 
Simulation n°26;1.427; 2.105; 0.477; 0.191; 0.69;59; 0.871; 1.067; 0.561; 0.175; 0.649;98; 1.816; 2.259; 2.939; 1.102; 0.759;199; 2.179; 3.033; 5.077; 2.115; 0.862;334; 
Simulation n°27;0.982; 1.252; 1.499; 0.562; 0.603;51; 2.034; 2.975; 0.857; 0.268; 0.674;117; 2.505; 3.225; 3.771; 1.508; 0.816;206; 1.352; 1.577; 1.481; 0.525; 0.752;280; 
Simulation n°28;1.886; 3.018; 2.605; 1.107; 0.806;64; 1.372; 1.75; 1.381; 0.518; 0.722;102; 1.942; 2.488; 2.895; 1.194; 0.844;205; 2.689; 3.608; 5.621; 2.272; 0.852;322; 
Simulation n°29;2.066; 2.634; 1.366; 0.546; 0.781;51; 1.763; 2.248; 4.64; 1.972; 0.748;102; 1.584; 2.06; 0.945; 0.349; 0.732;208; 3.276; 4.437; 1.271; 0.498; 0.77;325; 
Simulation n°30;1.434; 2.151; 1.797; 0.809; 0.888;60; 0.544; 0.557; 0.071; 0.017; 0.461;82; 2.153; 2.704; 1.505; 0.517; 0.706;201; 1.728; 2.231; 4.017; 1.691; 0.813;310; 
Simulation n°31;2.17; 3.038; 0.371; 0.148; 0.753;56; 2.379; 3.033; 0.402; 0.141; 0.707;102; 4.17; 5.917; 5.586; 2.2; 0.755;227; 1.85; 2.42; 2.572; 0.954; 0.739;314; 
Simulation n°32;6.082; 10.491; 0.917; 0.367; 0.789;69; 0.738; 0.932; 1.973; 0.814; 0.814;101; 0.696; 0.866; 1.781; 0.69; 0.786;199; 2.111; 2.885; 1.735; 0.658; 0.772;328; 
Simulation n°33;3.094; 5.106; 3.602; 1.981; 0.856;66; 1.546; 2.087; 5.433; 2.309; 0.841;108; 1.353; 1.776; 0.502; 0.141; 0.564;210; 1.615; 2.181; 1.524; 0.597; 0.789;324; 
Simulation n°34;0.326; 0.309; 0.047; 0.011; 0.376;38; 0.71; 0.87; 1.94; 0.752; 0.67;98; 1.689; 2.248; 1.247; 0.46; 0.747;213; 1.547; 2.139; 5.893; 2.676; 0.914;332; 
Simulation n°35;1.061; 1.247; 0.795; 0.298; 0.729;47; 1.72; 2.365; 1.434; 0.466; 0.685;110; 6.731; 9.971; 2.607; 1.043; 0.828;237; 1.888; 2.573; 2.057; 0.814; 0.78;327; 
Simulation n°36;0.509; 0.61; 0.0; 0.0; 0.271;48; 1.128; 1.424; 0.152; 0.04; 0.54;101; 1.367; 1.649; 1.473; 0.525; 0.726;193; 2.671; 3.517; 1.123; 0.379; 0.683;316; 
Simulation n°37;1.508; 2.262; 1.958; 0.734; 0.772;60; 1.842; 2.487; 1.222; 0.428; 0.637;108; 1.645; 1.84; 2.306; 0.778; 0.692;179; 4.611; 6.552; 1.156; 0.433; 0.73;341; 
